,size,sancus,sgx,total
0,1,79,47,126
1,1,85,44,129
2,1,88,46,134
3,1,77,44,121
4,1,78,51,129
5,1,80,50,130
6,1,85,44,129
7,1,87,48,135
8,1,87,43,130
9,1,78,44,122
10,1,76,49,125
11,1,93,46,139
12,1,82,44,126
13,1,80,51,131
14,1,74,48,122
15,1,80,43,123
16,1,94,43,137
17,1,80,50,130
18,1,80,45,125
19,1,89,48,137
20,1,81,51,132
21,1,81,51,132
22,1,86,47,133
23,1,80,54,134
24,1,76,42,118
25,1,83,51,134
26,1,88,48,136
27,1,75,42,117
28,1,87,47,134
29,1,85,43,128
30,1,88,44,132
31,1,77,44,121
32,1,79,44,123
33,1,92,43,135
34,1,93,45,138
35,1,74,42,116
36,1,82,47,129
37,1,80,48,128
38,1,87,48,135
39,1,74,54,128
40,1,91,45,136
41,1,77,46,123
42,1,93,37,130
43,1,90,47,137
44,1,89,44,133
45,1,76,44,120
46,1,96,43,139
47,1,85,45,130
48,1,81,45,126
49,1,91,44,135
50,1,87,43,130
51,1,74,47,121
52,1,79,46,125
53,1,80,50,130
54,1,78,42,120
55,1,74,47,121
56,1,84,42,126
57,1,90,54,144
58,1,77,47,124
59,1,82,46,128
60,1,86,45,131
61,1,81,48,129
62,1,81,43,124
63,1,84,43,127
64,1,86,45,131
65,1,99,47,146
66,1,78,43,121
67,1,73,42,115
68,1,85,54,139
69,1,87,44,131
70,1,77,50,127
71,1,72,45,117
72,1,73,42,115
73,1,86,49,135
74,1,85,46,131
75,1,97,48,145
76,1,90,49,139
77,1,85,42,127
78,1,87,48,135
79,1,80,44,124
80,1,88,48,136
81,1,73,50,123
82,1,74,51,125
83,1,83,46,129
84,1,81,52,133
85,1,81,44,125
86,1,77,45,122
87,1,91,46,137
88,1,85,52,137
89,1,103,48,151
90,1,77,51,128
91,1,81,47,128
92,1,89,52,141
93,1,92,47,139
94,1,98,45,143
95,1,82,45,127
96,1,88,45,133
97,1,83,50,133
98,1,82,45,127
99,1,88,46,134
